date,year,month,ticker,firm,marketcap
2017-12-01,2017,12,ISYAT,IS YAT. ORT.,154175.31264
2017-12-01,2017,12,OYAYO,OYAK YAT. ORT.,20200.0
2017-12-01,2017,12,AKMGY,AKMERKEZ GMYO,762421.44
2017-12-01,2017,12,ALGYO,ALARKO GMYO,541592.8748999999
2017-12-01,2017,12,AGYO,ATAKULE GMYO,315700.0
2017-12-01,2017,12,DGGYO,DOGUS GMYO,1075705.22664
2017-12-01,2017,12,ISGYO,IS GMYO,1242700.0
2017-12-01,2017,12,NUGYO,NUROL GMYO,380000.0
2017-12-01,2017,12,OZGYO,OZDERICI GMYO,156000.0
2017-12-01,2017,12,PEGYO,PERA GMYO,78408.0
2017-12-01,2017,12,SNGYO,SINPAS GMYO,462000.0
2017-12-01,2017,12,VKGYO,VAKIF GMYO,565500.0
2017-12-01,2017,12,YKGYO,YAPI KREDI KORAY GMYO,92800.0
2017-12-01,2017,12,EGCYO,EGELI & CO TARIM GIRISIM,15179.999999999998
2017-12-01,2017,12,ISGSY,IS GIRISIM,129895.3152
2017-12-01,2017,12,ISMEN,IS Y. MEN. DEG.,869750.0000000001
2017-12-01,2017,12,ALCTL,ALCATEL LUCENT TELETAS,308832.16056
2017-12-01,2017,12,ARENA,ARENA BILGISAYAR,135360.0
2017-12-01,2017,12,ARMDA,ARMADA BILGISAYAR,162720.0
2017-12-01,2017,12,DGATE,DATAGATE BILGISAYAR,314100.0
2017-12-01,2017,12,ESCOM,ESCORT TEKNOLOJI,62990.046
2017-12-01,2017,12,INDES,INDEKS BILGISAYAR,644000.0
2017-12-01,2017,12,KAREL,KAREL ELEKTRONIK,338839.2
2017-12-01,2017,12,LINK,LINK BILGISAYAR,78430.0
2017-12-01,2017,12,LOGO,LOGO YAZILIM,1468750.0
2017-12-01,2017,12,NETAS,NETAS TELEKOM.,1027458.432
2017-12-01,2017,12,PKART,PLASTIKKART,65747.5
2017-12-01,2017,12,ASELS,ASELSAN,31800000.0
2018-01-01,2018,1,KOZAA,KOZA MADENCILIK,2219817.6
2018-01-01,2018,1,ALYAG,ALTINYAG,66600.00000000001
2018-01-01,2018,1,AEFES,ANADOLU EFES,16484210.52192
