date,year,month,exports_usd,exports_tl,imports_usd,imports_tl
2016-08-01,2016,8,11830762820,35103845438,16614181203,49336701121
2016-09-01,2016,9,10901638452,32301738635,15297881163,45334224955
2016-10-01,2016,10,12796159910,39338693001,17008614931,52140898415
2016-11-01,2016,11,12786936247,41755656758,16934532450,55043412465
2016-12-01,2016,12,12780523145,44633717036,18410255713,64114759819
2017-01-01,2017,1,11247585677,42253897479,15591508883,58098511494
2017-02-01,2017,2,12089908934,44470994989,15825998294,58286702394
2017-03-01,2017,3,14470814059,53144654443,19017539459,69818433639
2017-04-01,2017,4,12859938791,47007987953,17787682718,65066207384
2017-05-01,2017,5,13582079731,48501796413,20923446227,74768421083
2017-06-01,2017,6,13125306944,46282951396,19173756269,67633687663
2017-07-01,2017,7,12612074056,44977356296,21490791009,76563810766
2017-08-01,2017,8,13248462990,46606466212,19161714598,67565969160
2017-09-01,2017,9,11810080805,41111032457,19978413421,69307713853
2017-10-01,2017,10,13912699494,51035963246,21217240980,77453458690
2017-11-01,2017,11,14188323116,55101551515,20546983405,79465124741
2017-12-01,2017,12,13845665817,53363426229,23084575971,88955315175
2018-01-01,2018,1,12434098319,46995932922,21522473367,81343051242
2018-02-01,2018,2,13148021711,49770974211,18936782626,71684421999
2018-03-01,2018,3,15553245177,60521522623,21434852704,83032746143
2018-04-01,2018,4,13846627891,56277306967,20556587945,83227871707
2018-05-01,2018,5,14256695228,63003179792,22067044562,96121323215
2018-06-01,2018,6,12924498134,59663984096,18449107134,84967650315
2018-07-01,2018,7,14048956242,66881860566,20057757187,95017367380
2018-08-01,2018,8,12331984010,71013666908,14803525725,83667953616
2018-09-01,2018,9,14397835420,91565361660,16326538057,103034991323
2018-10-01,2018,10,15676860082,91880531208,16174148502,95152596446
2018-11-01,2018,11,15491509931,83424542597,16163973421,87573085909
2018-12-01,2018,12,13810281310,73435324813,16554303252,87989159650
2019-01-01,2019,1,13179257405,70889438135,15670571244,84376408848
2019-02-01,2019,2,13571203315,71558397475,15728052203,82988316936
2019-03-01,2019,3,15461804039,84309116484,17627646573,95862415229
2019-04-01,2019,4,14461837290,83271992086,17461779189,100006149697
2019-05-01,2019,5,15940378423,96528304022,17821122264,107618377372
2019-06-01,2019,6,11064550363,64308002033,14253182266,83083541109
2019-07-01,2019,7,15127653693,85931477635,18349125418,104435146157
2019-08-01,2019,8,12500317969,70553558613,15075957470,84769940877
2019-09-01,2019,9,14406713985,82389331947,16490720849,94224233405
2019-10-01,2019,10,15638245225,90609415257,17471171421,101112637976
2019-11-01,2019,11,15456182847,88744559122,17736213434,101851414856
2019-12-01,2019,12,14656800039,85743563970,19018777202,110872999025
2020-01-01,2020,1,13844591487,82039982409,18516509299,109654075961
2020-02-01,2020,2,13880781224,84140579544,17033151121,102950784468
2020-03-01,2020,3,12605622079,79498756466,17963920601,112798107744
2020-04-01,2020,4,8426919496,57602589144,12447534012,84478967245
2020-05-01,2020,5,9425768856,65526924203,12777422319,88874760008
2020-06-01,2020,6,12741589389,86930081268,15845061837,107977917915
2020-07-01,2020,7,14143649960,97058968932,17150249960,117578537038
2020-08-01,2020,8,11749946685,85612363475,18156163294,131431887310
2020-09-01,2020,9,15191138704,114310561181,20003379160,149935960274
2020-10-01,2020,10,16427326686,129774434007,18735981586,147412294634
2020-11-01,2020,11,15304447824,122362258783,19864020805,158478939535
2020-12-01,2020,12,16914869697,130762976236,21040930910,163150046953
2021-01-01,2021,1,14238155046,105389420527,17815738738,132145212143
2021-02-01,2021,2,15045218065,106676186819,18575643935,131770355677
2021-03-01,2021,3,17968483738,137244599186,22763164344,172356942924
2021-04-01,2021,4,17824564203,145579125961,20875171214,170049114079
2021-05-01,2021,5,15622428746,130615585373,19318725730,161018426197
2021-06-01,2021,6,18771420190,161671055751,21883858752,187821095255
2021-07-01,2021,7,15562415868,134296056782,19837923808,171205170666
2021-08-01,2021,8,17809189053,151216353531,22362959032,190103790064
2021-09-01,2021,9,19562127747,166776499853,22300704000,189609417980
2021-10-01,2021,10,19752408958,181106887379,21599736242,196658876932
2021-11-01,2021,11,20315804197,214368809333,25931917874,266604398286
2021-12-01,2021,12,21126153147,284307915253,27416673516,371464119760
2022-01-01,2022,1,16655497118,225744911599,26825394409,360809418331
2022-02-01,2022,2,18736135856,256073447165,26459354918,360414752386
2022-03-01,2022,3,21221006654,309689563413,29672562099,431871167186
2022-04-01,2022,4,22028232603,324128880545,28809348441,423197997333
2022-05-01,2022,5,17539657593,275889882931,27193619098,421833324793
2022-06-01,2022,6,21703252618,369203228601,29173213874,493485280665
2022-07-01,2022,7,16930879845,294509402969,26602867461,461602100311
2022-08-01,2022,8,19486141223,351428372033,30744591656,552747574571
2022-09-01,2022,9,20611842940,377489956396,30184212419,551738518729
2022-10-01,2022,10,19504282436,362737341276,27497948031,510483950439
