,date,year,month,ticker,firm,marketcap,Sector
22593,2017-10-01,2017,10,TBORG,T.TUBORG,3563716.19565,gida
22594,2017-10-01,2017,10,ULKER,ULKER BISKUVI,6922079.999999999,gida
22595,2017-10-01,2017,10,ATEKS,AKIN TEKSTIL,280980.0,tekstil
22596,2017-10-01,2017,10,ARSAN,ARSAN TEKSTIL,160911.0,tekstil
22597,2017-10-01,2017,10,BRMEN,BIRLIK MENSUCAT,24820.20522,imalat
22598,2017-10-01,2017,10,DERIM,DERIMOD,40770.0,tekstil
22599,2017-10-01,2017,10,DESA,DESA DERI,53651.94714740001,tekstil
22600,2017-10-01,2017,10,KRTEK,KARSU TEKSTIL,75466.07161848,tekstil
22601,2017-10-01,2017,10,KORDS,KORDSA TEKNIK TEKSTIL,1412281.09176,imalat
22602,2017-10-01,2017,10,LUKSK,LUKS KADIFE,55000.0,tekstil
22603,2017-10-01,2017,10,MNDRS,MENDERES TEKSTIL,207500.0,tekstil
22604,2017-10-01,2017,10,SKTAS,SOKTAS,74623.2,tekstil
22605,2017-10-01,2017,10,SNPAM,SONMEZ PAMUKLU,340507.125,tekstil
22606,2017-10-01,2017,10,GENTS,GENTAS,157300.0,imalat
22607,2017-10-01,2017,10,ALKA,ALKIM KAGIT,236250.0,kagit
22608,2017-10-01,2017,10,BAKAB,BAK AMBALAJ,176760.0,ambalaj
22609,2017-10-01,2017,10,DOBUR,DOGAN BURDA,77454.333,kagit
22610,2017-10-01,2017,10,DURDO,DURAN DOGAN BASIM,57517.982625,ambalaj
22611,2017-10-01,2017,10,HURGZ,HURRIYET GZT.,728640.0,kagit
22612,2017-10-01,2017,10,KAPLM,KAPLAMIN,68000.0,ambalaj
22613,2017-10-01,2017,10,KARTN,KARTONSAN,800605.4100619999,imalat
22614,2017-10-01,2017,10,TIRE,MONDI TIRE KUTSAN,428000.0,ambalaj
22615,2017-10-01,2017,10,VKING,VIKING KAGIT,45360.0,kagit
22616,2017-10-01,2017,10,ALKIM,ALKIM KIMYA,607740.5,imalat
22617,2017-10-01,2017,10,BAGFS,BAGFAS,471600.0,kimya
22618,2017-10-01,2017,10,DEVA,DEVA HOLDING,862083.1303318,ilac
22619,2017-10-01,2017,10,DYOBY,DYO BOYA,612000.0,kimya
22620,2017-10-01,2017,10,EGGUB,EGE GUBRE,275000.0,kimya
22621,2017-10-01,2017,10,EGPRO,EGE PROFIL,729136.0,kimya
22622,2017-10-01,2017,10,EPLAS,EGEPLAST,101000.0,imalat
22623,2017-10-01,2017,10,GOODY,GOOD-YEAR,1169100.0,kimya
22624,2017-10-01,2017,10,GUBRF,GUBRE FABRIK.,1576480.0,imalat
22625,2017-10-01,2017,10,HEKTS,HEKTAS,571203.4613514,imalat
22626,2017-10-01,2017,10,MRSHL,MARSHALL,404000.0,imalat
22627,2017-10-01,2017,10,PETKM,PETKIM,9960000.0,kimya
22628,2017-10-01,2017,10,SASA,SASA POLYESTER,2792625.0,imalat
22629,2017-10-01,2017,10,SODA,SODA SANAYII,4725000.0,kimya
22630,2017-10-01,2017,10,TUPRS,TUPRAS,34182220.8,kimya
22631,2017-10-01,2017,10,ADANA,ADANA CIMENTO (A),565226.6542602,tas
22632,2017-10-01,2017,10,ADBGR,ADANA CIMENTO (B),378618.0885336,tas
22633,2017-10-01,2017,10,ADNAC,ADANA CIMENTO (C),138881.7442824,tas
22634,2017-10-01,2017,10,AFYON,AFYON CIMENTO,813000.0000000001,tas
22635,2017-10-01,2017,10,AKCNS,AKCANSA,2174838.695319999,tas
22636,2017-10-01,2017,10,ANACM,ANADOLU CAM,1792500.000478,camseramik
22637,2017-10-01,2017,10,ASLAN,ASLAN CIMENTO,2972560.0,tas
22638,2017-10-01,2017,10,BTCIM,BATI CIMENTO,666400.0,tas
22639,2017-10-01,2017,10,BSOKE,BATISOKE CIMENTO,475800.0,tas
22640,2017-10-01,2017,10,BOLUC,BOLU CIMENTO,839359.0338000001,tas
22641,2017-10-01,2017,10,BUCIM,BURSA CIMENTO,583045.1020799999,tas
22642,2017-10-01,2017,10,CMBTN,CIMBETON,63153.6,insaat
22643,2017-10-01,2017,10,CMENT,CIMENTAS,1100230.410216,tas
22644,2017-10-01,2017,10,DENCM,DENIZLI CAM,66719.99999999999,camseramik
22645,2017-10-01,2017,10,DOGUB,DOGUSAN,27800.0,imalat
22646,2017-10-01,2017,10,EGSER,EGE SERAMIK,344250.0,camseramik
22647,2017-10-01,2017,10,GOLTS,GOLTAS CIMENTO,527040.0,tas
22648,2017-10-01,2017,10,KONYA,KONYA CIMENTO,1285613.472,tas
22649,2017-10-01,2017,10,KUTPO,KUTAHYA PORSELEN,240299.136,camseramik
22650,2017-10-01,2017,10,MRDIN,MARDIN CIMENTO,483000.84,tas
22651,2017-10-01,2017,10,NUHCM,NUH CIMENTO,1472093.28,tas
22652,2017-10-01,2017,10,TRKCM,TRAKYA CAM,4644300.0,camseramik
22653,2017-10-01,2017,10,USAK,USAK SERAMIK,126974.2770975,camseramik
22654,2017-10-01,2017,10,UNYEC,UNYE CIMENTO,549959.5277485,tas
22655,2017-10-01,2017,10,BRSAN,BORUSAN MANNESMANN,1591852.5,anametal
22656,2017-10-01,2017,10,BURCE,BURCELIK,33190.56,anametal
22657,2017-10-01,2017,10,BURVA,BURCELIK VANA,13225.8096,anametal
22658,2017-10-01,2017,10,CELHA,CELIK HALAT,66660.0,anametal
22659,2017-10-01,2017,10,CEMTS,CEMTAS,433185.6672,anametal
22660,2017-10-01,2017,10,DMSAS,DEMISAS DOKUM,99750.0,anametal
22661,2017-10-01,2017,10,ERBOS,ERBOSAN,395937.0,anametal
22662,2017-10-01,2017,10,EREGL,EREGLI DEMIR CELIK,31150000.0,anametal
22663,2017-10-01,2017,10,IZMDC,IZMIR DEMIR CELIK,1237500.0,anametal
22664,2017-10-01,2017,10,KRDMA,KARDEMIR (A),605565.1882652399,anametal
22665,2017-10-01,2017,10,KRDMB,KARDEMIR (B),356021.64962752,anametal
22666,2017-10-01,2017,10,KRDMD,KARDEMIR (D),1888146.92396638,anametal
22667,2017-10-01,2017,10,SARKY,SARKUYSAN,586000.0,anametal
22668,2017-10-01,2017,10,ALCAR,ALARKO CARRIER,637740.0,imalat
22669,2017-10-01,2017,10,ASUZU,ANADOLU ISUZU,871920.0000000001,otomotiv
22670,2017-10-01,2017,10,ARCLK,ARCELIK,14001088.4076,imalat
22671,2017-10-01,2017,10,BFREN,BOSCH FREN SISTEMLERI,535250.0,imalat
22672,2017-10-01,2017,10,DITAS,DITAS DOGAN,63900.0,otoyan
22673,2017-10-01,2017,10,EGEEN,EGE ENDUSTRI,933660.0,otoyan
